Updated DB with rowEntry : RowEntry{mobileId=2726, sellerId=1, price=6440, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-2-2-2-16-Steel/dp/B07T2FL5KF/ref=sr_1_397?qid=1567246554&s=electronics&sr=1-397', newPrice=6439, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2727, sellerId=1, price=7299, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-Matte-Black-16GB-Storage/dp/B077D8R8PL/ref=sr_1_406?qid=1567246554&s=electronics&sr=1-406', newPrice=7649, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2729, sellerId=1, price=5760, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-3-White-Silver/dp/B073VNGBT6/ref=sr_1_434?qid=1567246559&s=electronics&sr=1-434', newPrice=5706, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2731, sellerId=1, price=8888, availableStatus=1, mobileLink='https://www.amazon.in/Moto-G5S-Lunar-Grey-32GB/dp/B0714DP3BC/ref=sr_1_437?qid=1567246559&s=electronics&sr=1-437', newPrice=8879, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2734, sellerId=1, price=18000, availableStatus=1, mobileLink='https://www.amazon.in/Mi-Poco-64GB-Steel-Blue/dp/B07H4X4F5Y/ref=sr_1_448?qid=1567246559&s=electronics&sr=1-448', newPrice=18440, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2735, sellerId=1, price=46988, availableStatus=1, mobileLink='https://www.amazon.in/Google-Pixel-Not-Pink-128/dp/B07L3TT8KP/ref=sr_1_449?qid=1567246559&s=electronics&sr=1-449', newPrice=47999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2736, sellerId=1, price=14999, availableStatus=1, mobileLink='https://www.amazon.in/OPPO-Steller-Purple-Storage-Offer/dp/B07HF4DSL9/ref=sr_1_454?qid=1567246559&s=electronics&sr=1-454', newPrice=13650, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2745, sellerId=1, price=11999, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-6-1-Plus-White-Storage/dp/B07TDHMDR3/ref=sr_1_471?qid=1567246562&s=electronics&sr=1-471', newPrice=10999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2748, sellerId=1, price=8544, availableStatus=1, mobileLink='https://www.amazon.in/Lenovo-Venom-Storage-System-Update/dp/B01M0JSAFU/ref=sr_1_482?qid=1567246565&s=electronics&sr=1-482', newPrice=8899, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2755, sellerId=1, price=5687, availableStatus=1, mobileLink='https://www.amazon.in/Lava-Z61-Black-Storage-Offers/dp/B07H5M9Q94/ref=sr_1_498?qid=1567246565&s=electronics&sr=1-498', newPrice=5755, newAvailableStatus=1}
